
44.football, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 1, PSNR: 34.09dB                                    
45.football, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 0, PSNR: 38.36dB                                     
46.football, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 1, PSNR: 26.86dB                                     
47.football, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 0, PSNR: 36.91dB                                    
48.football, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 1, PSNR: 35.80dB                                    
49.football, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 0, PSNR: 18.86dB                                     
50.football, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 1, PSNR: 11.98dB                                     
51.football, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 0, PSNR: 43.76dB                                    
52.football, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 1, PSNR: 42.88dB                                    
53.football, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 0, PSNR: 22.42dB                                     
54.football, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 1, PSNR: 13.65dB                                     
55.football, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 0, PSNR: 44.22dB                                    
56.football, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 1, PSNR: 43.18dB                                    
57.football, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 0, PSNR: 45.77dB                                     
58.football, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 1, PSNR: 37.96dB                                     
59.football, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 0, PSNR: 46.22dB                                    
60.football, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 1, PSNR: 45.26dB                                    
61.football, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 0, PSNR: 13.75dB                                    
62.football, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 1, PSNR: 11.33dB                                    
63.football, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 0, PSNR: 34.21dB                                   
64.football, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 1, PSNR: 33.77dB                                   
65.football, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 0, PSNR: 18.86dB                                    
66.football, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 1, PSNR: 13.35dB                                    
67.football, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 0, PSNR: 34.84dB                                   
68.football, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 1, PSNR: 34.04dB                                   
69.football, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 0, PSNR: 38.23dB                                    
70.football, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 1, PSNR: 26.83dB                                    
71.football, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 0, PSNR: 36.75dB                                   
72.football, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 1, PSNR: 35.74dB                                   
1.foreman, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 0, PSNR: 34.39dB                                        
2.foreman, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 1, PSNR: 14.23dB                                        
